n,2n,closest_value,d(n)
49637583,99275166,99482698,207532
49635419,99270838,99478358,207520
49632595,99265190,99472693,207503
49632055,99264110,99471610,207500
49629097,99258194,99465682,207488
49628191,99256382,99463862,207480
49625535,99251070,99458543,207473
49623265,99246530,99453995,207465
49621403,99242806,99450271,207465
49621083,99242166,99449626,207460
49620839,99241678,99449134,207456
49618231,99236462,99443906,207444
49617491,99234982,99442424,207442
49613695,99227390,99434812,207422
49609983,99219966,99427378,207412
49609471,99218942,99426346,207404
49608423,99216846,99424246,207400
49604607,99209214,99416605,207391
49603197,99206394,99413782,207388
49602715,99205430,99412814,207384
49601239,99202478,99409862,207384
49600603,99201206,99408574,207368
49597753,99195506,99402866,207360
49597433,99194866,99402226,207360
49596583,99193166,99400526,207360
49595675,99191350,99398704,207354
49595547,99191094,99398446,207352
49595039,99190078,99397424,207346
49594793,99189586,99396929,207343
49594139,99188278,99395620,207342
49591743,99183486,99390820,207334
49590431,99180862,99388193,207331
49587839,99175678,99383002,207324
49587539,99175078,99382393,207315
49583443,99166886,99374200,207314
49582189,99164378,99371684,207306
49579689,99159378,99366664,207286
49576383,99152766,99360035,207269
49575071,99150142,99357400,207258
49572991,99145982,99353233,207251
49569307,99138614,99345851,207237
49567057,99134114,99341351,207237
49566377,99132754,99339979,207225
49565551,99131102,99338323,207221
49564159,99128318,99335536,207218
49563039,99126078,99333290,207212
49562025,99124050,99331258,207208
49559807,99119614,99326810,207196
49557479,99114958,99322150,207192
49556839,99113678,99320861,207183
49554923,99109846,99317021,207175
49553407,99106814,99313981,207167
49551687,99103374,99310540,207166
49551407,99102814,99309977,207163
49547641,99095282,99302435,207153
49545215,99090430,99297574,207144
49544447,99088894,99296027,207133
49542591,99085182,99292306,207124
49539097,99078194,99285314,207120
49537191,99074382,99281497,207115
49537023,99074046,99281155,207109
49536103,99072206,99279310,207104
49535743,99071486,99278590,207104
49533179,99066358,99273451,207093
49531847,99063694,99270785,207091
49531775,99063550,99270629,207079
49531375,99062750,99269828,207078
49531039,99062078,99269155,207077
49528903,99057806,99264880,207074
49528375,99056750,99263824,207074
49527273,99054546,99261616,207070
49526239,99052478,99259546,207068
49525995,99051990,99259057,207067
49524919,99049838,99256904,207066
49523839,99047678,99254740,207062
49522683,99045366,99252416,207050
49522217,99044434,99251482,207048
49521085,99042170,99249212,207042
49520319,99040638,99247679,207041
49518911,99037822,99244846,207024
49515263,99030526,99237548,207022
49513927,99027854,99234863,207009
49511081,99022162,99229157,206995
49510847,99021694,99228686,206992
49507177,99014354,99221345,206991
49506985,99013970,99220949,206979
49503073,99006146,99213110,206964
49502831,99005662,99212624,206962
49499343,98998686,99205646,206960
49498863,98997726,99204676,206950
49498025,98996050,99202988,206938
49497427,98994854,99201790,206936
49494527,98989054,99195982,206928
49494241,98988482,99195407,206925
49491695,98983390,99190301,206911
49489311,98978622,99185525,206903
49487871,98975742,99182644,206902
49487851,98975702,99182600,206898
49486599,98973198,99180094,206896
49486119,98972238,99179134,206896
49481855,98963710,99170594,206884
49479805,98959610,99166486,206876
49479677,98959354,99166228,206874
49478793,98957586,99164452,206866
49477071,98954142,99160994,206852
49474267,98948534,99155380,206846
49473695,98947390,99154228,206838
49468831,98937662,99144485,206823
49465981,98931962,99138772,206810
49463463,98926926,99133726,206800
49460383,98920766,99127550,206784
49458687,98917374,99124150,206776
49456767,98913534,99120298,206764
49449961,98899922,99106661,206739
49448575,98897150,99103882,206732
49440297,98880594,99087298,206704
49438895,98877790,99084488,206698
49436443,98872886,99079571,206685
49433599,98867198,99073868,206670
49429695,98859390,99066058,206668
49428345,98856690,99063340,206650
49425513,98851026,99057676,206650
49423175,98846350,99052990,206640
49422671,98845342,99051982,206640
49422591,98845182,99051821,206639
49419881,98839762,99046385,206623
49419755,98839510,99046132,206622
49418543,98837086,99043696,206610
49416671,98833342,99039941,206599
49415963,98831926,99038524,206598
49413533,98827066,99033659,206593
49411411,98822822,99029402,206580
49408927,98817854,99024434,206580
49407399,98814798,99021370,206572
49406607,98813214,99019786,206572
49405209,98810418,99016990,206572
49405115,98810230,99016787,206557
49404927,98809854,99016402,206548
49399707,98799414,99005956,206542
49396507,98793014,98999536,206522
49392865,98785730,98992232,206502
49391743,98783486,98989985,206499
49391687,98783374,98989870,206496
49389867,98779734,98986229,206495
49389503,98779006,98985500,206494
49389321,98778642,98985136,206494
49387291,98774582,98981068,206486
49386143,98772286,98978762,206476
49385087,98770174,98976649,206475
49384155,98768310,98974781,206471
49382653,98765306,98971774,206468
49382431,98764862,98971318,206456
49381119,98762238,98968691,206453
49377983,98755966,98962415,206449
49377727,98755454,98961898,206444
49376103,98752206,98958634,206428
49373865,98747730,98954152,206422
49370249,98740498,98946902,206404
49367095,98734190,98940584,206394
49365311,98730622,98937011,206389
49363423,98726846,98933228,206382
49360381,98720762,98927129,206367
49359999,98719998,98926361,206363
49357551,98715102,98921453,206351
49355867,98711734,98918081,206347
49354667,98709334,98915681,206347
49353407,98706814,98913154,206340
49352551,98705102,98911430,206328
49350427,98700854,98907178,206324
49349915,98699830,98906150,206320
49346719,98693438,98899741,206303
49343481,98686962,98893264,206302
49341759,98683518,98889820,206302
49340063,98680126,98886418,206292
49338863,98677726,98884009,206283
49335379,98670758,98877028,206270
49335293,98670586,98876852,206266
49334447,98668894,98875154,206260
49333587,98667174,98873426,206252
49330985,98661970,98868221,206251
49330175,98660350,98866595,206245
49329391,98658782,98865022,206240
49326959,98653918,98860156,206238
49326857,98653714,98859941,206227
49323867,98647734,98853947,206213
49323291,98646582,98852795,206213
49321063,98642126,98848336,206210
49320987,98641974,98848171,206197
49314951,98629902,98836091,206189
49314793,98629586,98835763,206177
49314239,98628478,98834647,206169
49309599,98619198,98825366,206168
49308687,98617374,98823539,206165
49306899,98613798,98819945,206147
49306399,98612798,98818937,206139
49305927,98611854,98817992,206138
49302719,98605438,98811575,206137
49300819,98601638,98807768,206130
49299689,98599378,98805503,206125
49297519,98595038,98801147,206109
49296011,98592022,98798129,206107
49295471,98590942,98797036,206094
49291751,98583502,98789596,206094
49290921,98581842,98787922,206080
49290409,98580818,98786893,206075
49290367,98580734,98786803,206069
49287975,98575950,98782018,206068
49285775,98571550,98777615,206065
49284187,98568374,98774419,206045
49283711,98567422,98773463,206041
49283071,98566142,98772179,206037
49280225,98560450,98766485,206035
49279727,98559454,98765486,206032
49278249,98556498,98762530,206032
49278035,98556070,98762089,206019
49276041,98552082,98758100,206018
49274319,98548638,98754646,206008
49274303,98548606,98754608,206002
49271123,98542246,98748247,206001
49271103,98542206,98748202,205996
49270399,98540798,98746784,205986
49269855,98539710,98745695,205985
49262235,98524470,98730428,205958
49261671,98523342,98729297,205955
49260201,98520402,98726348,205946
49259055,98518110,98724055,205945
49256687,98513374,98719318,205944
49254303,98508606,98714537,205931
49252803,98505606,98711533,205927
49251465,98502930,98708848,205918
49250287,98500574,98706490,205916
49249279,98498558,98704456,205898
49246987,98493974,98699872,205898
49243095,98486190,98692072,205882
49241595,98483190,98689060,205870
49237759,98475518,98681366,205848
49234031,98468062,98673910,205848
49233599,98467198,98673046,205848
49233039,98466078,98671916,205838
49231739,98463478,98669312,205834
49231287,98462574,98668408,205834
49230505,98461010,98666836,205826
49229737,98459474,98665294,205820
49228647,98457294,98663105,205811
49226779,98453558,98659367,205809
49224895,98449790,98655590,205800
49224815,98449630,98655428,205798
49223215,98446430,98652226,205796
49221479,98442958,98648746,205788
49218873,98437746,98643527,205781
49218023,98436046,98641817,205771
49216943,98433886,98639656,205770
49215713,98431426,98637190,205764
49214295,98428590,98634350,205760
49212543,98425086,98630830,205744
49210847,98421694,98627434,205740
49206687,98413374,98619095,205721
49203837,98407674,98613395,205721
49201789,98403578,98609288,205710
49200105,98400210,98605912,205702
49199643,98399286,98604980,205694
49198311,98396622,98602316,205694
49198271,98396542,98602231,205689
49197807,98395614,98601298,205684
49197127,98394254,98599937,205683
49195079,98390158,98595833,205675
49194431,98388862,98594531,205669
49191743,98383486,98589152,205666
49191239,98382478,98588134,205656
49189375,98378750,98584402,205652
49189359,98378718,98584370,205652
49187871,98375742,98581394,205652
49186937,98373874,98579524,205650
49186811,98373622,98579261,205639
49184767,98369534,98575168,205634
49183855,98367710,98573336,205626
49182719,98365438,98571062,205624
49181423,98362846,98568467,205621
49179899,98359798,98565416,205618
49179177,98358354,98563961,205607
49178623,98357246,98562847,205601
49174445,98348890,98554487,205597
49173119,98346238,98551822,205584
49172095,98344190,98549774,205584
49172015,98344030,98549612,205582
49171833,98343666,98549248,205582
49170503,98341006,98546584,205578
49167699,98335398,98540960,205562
49166427,98332854,98538407,205553
49165311,98330622,98536171,205549
49163623,98327246,98532791,205545
49162087,98324174,98529713,205539
49160359,98320718,98526253,205535
49159515,98319030,98524561,205531
49156961,98313922,98519453,205531
49156763,98313526,98519045,205519
49155711,98311422,98516932,205510
49152871,98305742,98511238,205496
49150975,98301950,98507438,205488
49150399,98300798,98506282,205484
49146535,98293070,98498551,205481
49143771,98287542,98493010,205468
49142287,98284574,98490040,205466
49142153,98284306,98489768,205462
49141919,98283838,98489290,205452
49141807,98283614,98489063,205449
49140669,98281338,98486786,205448
49138681,98277362,98482804,205442
49138175,98276350,98481784,205434
49137135,98274270,98479700,205430
49134079,98268158,98473576,205418
49132775,98265550,98470966,205416
49131489,98262978,98468389,205411
49131347,98262694,98468102,205408
49127743,98255486,98460883,205397
49124841,98249682,98455066,205384
49122239,98244478,98449850,205372
49119455,98238910,98444267,205357
49115879,98231758,98437103,205345
49114751,98229502,98434838,205336
